a1,a2,a3,a4,a5,a6,a7,a8
27-Mar-2020,0.00164166578165089,0.00201176570906195,0.00239645375107379,0.00339344865550024,0.00559816175116882,0.00647881790815902,0.00775161766328547
26-Mar-2020,0.0016249990749245,0.00200167718673676,0.00234640471123864,0.00329904465386394,0.0053775763266198,0.00614253050563258,0.0074524176035929
25-Mar-2020,0.00181833209773703,0.00224931495301379,0.00264073138674124,0.00372244321698274,0.00610305150349806,0.00676130665198385,0.00800532132602086
24-Mar-2020,0.00184999848316427,0.00228591976503247,0.00267991572321509,0.00377421617499992,0.00617642763128008,0.00683662247801324,0.00807454340124185
23-Mar-2020,0.00177833204635484,0.00219944028601643,0.00258069765452249,0.00363976038897524,0.00596037269535292,0.00663666445137111,0.00789567282571526
20-Mar-2020,0.00177166516490546,0.00218783793740901,0.002568190306953,0.00361887805524606,0.00592724418439117,0.0066000287467372,0.00786099966756654
19-Mar-2020,0.00168666466896304,0.00193504184840461,0.00243150827492155,0.00310924654258955,0.00588701822272815,0.00648215607778699,0.00814559594704979
18-Mar-2020,0.00167833112736516,0.00192670752307694,0.00242317204157555,0.00309589402280539,0.00586443636212601,0.00647010760910871,0.00813708030870783
17-Mar-2020,0.00163833100279931,0.00187848040624319,0.00236564130136199,0.00301743025360373,0.00571806753400738,0.00634850162677989,0.00802529126459343
16-Mar-2020,0.00152999805757403,0.00174711339961972,0.00219554752802613,0.00279707113706348,0.0052575967151815,0.00597522815080491,0.00767142385987586
13-Mar-2020,0.00134999793604821,0.00154407689951113,0.00194042769350814,0.00247830665047599,0.00468493653820318,0.00544681216313298,0.00718715463352644
12-Mar-2020,0.00131499820747834,0.00148933834084635,0.00185871411018877,0.00235477796331519,0.00465774018843396,0.00515217018214726,0.00696463216786118
11-Mar-2020,0.00129583068557225,0.00147181514776995,0.0018437133779454,0.00234812439993882,0.00469886493902543,0.00514884389287807,0.00696981075945642
10-Mar-2020,0.00131416212800861,0.0014917925612371,0.00184453412010913,0.00235312171373726,0.00467788389964868,0.00521335605802226,0.00702560030110588
09-Mar-2020,0.00129333062377375,0.00146438125673892,0.00181035247768296,0.00231139783612615,0.0045940536822259,0.00513889548237056,0.00694830069107805
06-Mar-2020,0.00123999453814633,0.00140446544152007,0.00173532378958592,0.00221545681682051,0.00439016546335464,0.00496717845526053,0.00677059668131778
05-Mar-2020,0.00121999304277664,0.00138281937267416,0.00170614567919462,0.00217290406442286,0.00431522775468837,0.00490085184658788,0.00670524396050923
